epoch,train_loss,val_loss
1,1.3381,0.5978
2,0.5965,0.5943
3,0.5936,0.5915
4,0.5923,0.5913
5,0.5915,0.5910
6,0.5910,0.5903
7,0.5906,0.5901
8,0.5903,0.5904
9,0.5902,0.5902
10,0.5900,0.5905
11,0.5900,0.5903
12,0.5896,0.5903
13,0.5896,0.5904
14,0.5895,0.5902
15,0.5894,0.5905
